# Bundle file v0.3
200 5054
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9668353899e-01 -4.0688457989e-02 7.0472494524e-02
4.4166066381e-02 9.9784563116e-01 -4.8512420696e-02
-6.8346775186e-02 5.1464024016e-02 9.9633336417e-01
1.7673935720e-01 1.4269731389e-01 1.0942430942e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9664453737e-01 -4.1280062894e-02 7.0679717941e-02
4.4228058933e-02 9.9819350266e-01 -4.0664604328e-02
-6.8873397794e-02 4.3654182499e-02 9.9666983873e-01
1.7401319973e-01 1.4744690636e-01 1.0903212857e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9658061413e-01 -4.2820600445e-02 7.0664529433e-02
4.5274735181e-02 9.9841270003e-01 -3.3500429471e-02
-6.9117855122e-02 3.6585196433e-02 9.9693743309e-01
1.6866651563e-01 1.5298325700e-01 1.0869747847e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9654125743e-01 -4.4688107883e-02 7.0060654143e-02
4.7232042568e-02 9.9826763331e-01 -3.5083706073e-02
-6.8371458958e-02 3.8271468364e-02 9.9692559317e-01
1.7819595473e-01 1.4209390628e-01 1.0909026173e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9650763944e-01 -4.6573952201e-02 6.9306504055e-02
4.9007859693e-02 9.9822492032e-01 -3.3841367176e-02
-6.7607353271e-02 3.7119744346e-02 9.9702124870e-01
1.9193483777e-01 1.3358966430e-01 1.0917006619e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9573993652e-01 -6.1657193106e-02 6.8559239752e-02
6.3892228170e-02 9.9747837679e-01 -3.0897751101e-02
-6.6481290576e-02 3.5146527310e-02 9.9716847103e-01
2.0370108039e-01 1.2806293290e-01 1.0922322956e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9466114883e-01 -7.7553944297e-02 6.8077784494e-02
7.9649540523e-02 9.9641188258e-01 -2.8623608371e-02
-6.5613639680e-02 3.3893155441e-02 9.9726932385e-01
