# Bundle file v0.3
200 7137
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7749325136e-01 2.9024329716e-02 2.0896059875e-01
-4.6762970192e-02 9.9566062418e-01 8.0455864095e-02
-2.0571866266e-01 -8.8416682435e-02 9.7460880465e-01
4.5962514894e-01 3.6396109774e-01 9.8359882239e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7749093068e-01 2.8391914656e-02 2.0905831631e-01
-4.7775264531e-02 9.9495117386e-01 8.8259196287e-02
-2.0549696965e-01 -9.6260380284e-02 9.7391218015e-01
4.5668593737e-01 3.6810026790e-01 9.7789130258e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7757833267e-01 2.6881899900e-02 2.0884914877e-01
-4.7725337218e-02 9.9429311288e-01 9.5412252191e-02
-2.0509240764e-01 -1.0324034647e-01 9.7328235122e-01
4.5102325420e-01 3.7316467797e-01 9.7304511493e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7779071438e-01 2.5120590595e-02 2.0807276323e-01
-4.5564641692e-02 9.9452405277e-01 9.4051963748e-02
-2.0457072688e-01 -1.0144389772e-01 9.7358099474e-01
4.6031335594e-01 3.6286324882e-01 9.7755360322e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7802566340e-01 2.3359880184e-02 2.0717171075e-01
-4.3970311133e-02 9.9446307990e-01 9.5445243228e-02
-2.0379502809e-01 -1.0245730191e-01 9.7363755464e-01
4.7386534286e-01 3.5462190313e-01 9.7835853202e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7882109051e-01 8.4874144896e-03 2.0454152775e-01
-2.9591446366e-02 9.9451296783e-01 1.0034093445e-01
-2.0256756671e-01 -1.0426850253e-01 9.7370142256e-01
4.8249476833e-01 3.5298713131e-01 9.7882905668e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7935290171e-01 -7.2363055477e-03 2.0202853709e-01
-1.4245196059e-02 9.9440468715e-01 1.0467278809e-01
-2.0165556850e-01 -1.0538953486e-01 9.7377003324e-01
4.9031939245e-01 3.5647780965e-01 9.7931625732e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7977909421e-01 -1.6709802548e-02 1.9938332189e-01
-4.8963701066e-03 9.9420569157e-01 1.0738281248e-01
-2.0002237902e-01 -1.0618768928e-01 9.7402013456e-01
5.0103972971e-01 3.5944481186e-01 9.7997940767e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7962029006e-01 -1.1737424148e-02 2.0051513704e-01
-9.7202645979e-03 9.9435117012e-01 1.0569421428e-01
-2.0062303897e-01 -1.0548925704e-01 9.7397249083e-01
5.0895858603e-01 3.4565668070e-01 9.8278325981e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7946338730e-01 -1.4161885941e-02 2.0112412567e-01
-6.8549611950e-03 9.9461438967e-01 1.0341772269e-01
-2.0150553949e-01 -1.0267257105e-01 9.7409129999e-01
5.1654783489e-01 3.0737556604e-01 9.8451847745e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7912185287e-01 -1.3629652447e-02 2.0281673945e-01
-6.0021119107e-03 9.9537605781e-01 9.5866981739e-02
-2.0318556021e-01 -9.5082785557e-02 9.7451264333e-01
5.3833184774e-01 2.7473319453e-01 9.9591452539e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7977437306e-01 -1.6001834677e-02 1.9946458126e-01
1.4290817925e-03 9.9733163466e-01 7.2990192679e-02
-2.0010031388e-01 -7.1228869071e-02 9.7718284502e-01
5.6238076755e-01 1.9973393912e-01 1.0294434882e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.8270097020e-01 -1.8977125724e-02 1.8422451484e-01
1.3318561856e-02 9.9940217619e-01 3.1904641431e-02
-1.8471983943e-01 -2.8899116491e-02 9.8236623618e-01
5.6821980265e-01 1.4157485710e-01 1.0597335837e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.8375174499e-01 -2.1657502906e-02 1.7822305351e-01
2.5518867534e-02 9.9948604556e-01 -1.9401858862e-02
-1.7771125917e-01 2.3634663006e-02 9.8379881636e-01
5.8325918507e-01 6.3422458843e-02 1.0803770253e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.8115187597e-01 -2.5174280607e-02 1.9159136690e-01
3.2615509489e-02 9.9882715905e-01 -3.5784561965e-02
-1.9046581010e-01 4.1358940148e-02 9.8082221287e-01
6.3040235681e-01 4.1956323834e-04 1.0550849999e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7884337668e-01 -5.0646064003e-02 1.9824384006e-01
5.9356744323e-02 9.9750403632e-01 -3.8242311960e-02
-1.9581220806e-01 4.9200342699e-02 9.7940640464e-01
6.7136684814e-01 -5.8674641835e-02 1.0065899542e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7746168414e-01 -5.9821741496e-02 2.0245991031e-01
7.1698690666e-02 9.9607824921e-01 -5.1840324235e-02
-1.9856473452e-01 6.5188041114e-02 9.7791746354e-01
7.0766924942e-01 -1.8380956227e-02 9.6363810662e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7453031943e-01 -6.8281851029e-02 2.1360769026e-01
8.8749614049e-02 9.9218236919e-01 -8.7736265391e-02
-2.0594698960e-01 1.0445925080e-01 9.7297178911e-01
7.3970951694e-01 2.5510002142e-02 9.3425938680e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7056228404e-01 -5.3484363462e-02 2.3483669999e-01
7.0129250338e-02 9.9553998166e-01 -6.3103352953e-02
-2.3041428134e-01 7.7714656095e-02 9.6998437677e-01
7.8504325695e-01 1.5120982019e-01 8.9926827124e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.6713083355e-01 -8.1666810796e-02 2.4080797913e-01
1.0595306058e-01 9.9031939287e-01 -8.9674127032e-02
-2.3115341172e-01 1.1224095562e-01 9.6642126846e-01
7.9713217156e-01 1.4960196995e-01 8.8742041504e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.6165888662e-01 -1.4356513529e-01 2.3366907735e-01
1.7479131154e-01 9.7740800163e-01 -1.1883432060e-01
-2.1132956062e-01 1.5512140494e-01 9.6502702892e-01
7.8760046674e-01 1.5580550309e-01 8.8628101171e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.6694168866e-01 -1.7111965338e-01 1.8905511092e-01
2.1140756861e-01 9.5252213412e-01 -2.1910824711e-01
-1.4258545042e-01 2.5183257979e-01 9.5720935071e-01
7.4976426719e-01 7.3978233065e-02 8.8713107164e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.6495949205e-01 -2.0120400176e-01 1.6843434442e-01
2.4530101208e-01 9.1962462267e-01 -3.0678651673e-01
-9.3169695582e-02 3.3735367651e-01 9.3675605403e-01
7.0633220446e-01 3.4452007956e-03 8.8401313076e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.5454720648e-01 -2.4237104656e-01 1.7348171773e-01
2.8896950502e-01 8.9517717786e-01 -3.3934414007e-01
-7.3049680116e-02 3.7405092704e-01 9.2452671579e-01
7.1383195201e-01 5.1685739776e-03 8.5901257514e-01
0 0 0
0 0 0
0 0 0
0 0 0
0 0 0
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
8.8401377387e-01 -3.1601374412e-01 3.4446329431e-01
