# Bundle file v0.3
200 3813
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9797413637e-01 1.3179586416e-02 6.2240835797e-02
-4.2159876628e-03 9.8985707655e-01 -1.4200420222e-01
-6.3481088419e-02 1.4145411448e-01 9.8790732607e-01
1.4761770508e-01 -6.2674038872e-02 1.1204493545e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9795723542e-01 1.2560664659e-02 6.2638534335e-02
-4.0680248531e-03 9.9098558640e-01 -1.3390675382e-01
-6.3755842509e-02 1.3337839873e-01 9.8901233324e-01
1.4456583482e-01 -5.8018277170e-02 1.1174443714e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9794233998e-01 1.1073883076e-02 6.3154217450e-02
-2.9802207118e-03 9.9191906431e-01 -1.2683725065e-01
-6.4048453163e-02 1.2638804920e-01 9.8991103472e-01
1.3912754344e-01 -5.2997159674e-02 1.1150345365e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9800692687e-01 9.0174881934e-03 6.2456855661e-02
-9.3976793210e-04 9.9175152403e-01 -1.2817188230e-01
-6.3097470224e-02 1.2785773142e-01 9.8978336507e-01
1.5099491323e-01 -6.5804634178e-02 1.1193386193e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9807357594e-01 7.0458637884e-03 6.1640026132e-02
8.2052745633e-04 9.9194434729e-01 -1.2667177513e-01
-6.2035987562e-02 1.2647832891e-01 9.9002766050e-01
1.6827083993e-01 -7.6250928092e-02 1.1203989677e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9804069749e-01 -8.1053715520e-03 6.2040866421e-02
1.5732721339e-02 9.9222486924e-01 -1.2345967089e-01
-6.0557804068e-02 1.2419384771e-01 9.9040832012e-01
1.8636571711e-01 -8.3852871714e-02 1.1212805563e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9773180000e-01 -2.4094122158e-02 6.2854821133e-02
3.1577297135e-02 9.9215978424e-01 -1.2092078747e-01
-5.9448545549e-02 1.2263130030e-01 9.9067019468e-01
2.0410195593e-01 -8.5281823838e-02 1.1219338989e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9748803385e-01 -3.3872053060e-02 6.2211786201e-02
4.1131076504e-02 9.9199637318e-01 -1.1937935395e-01
-5.7670242469e-02 1.2163831479e-01 9.9089770588e-01
2.2252355379e-01 -8.5288981232e-02 1.1223708686e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9765508299e-01 -2.8797990721e-02 6.2088735857e-02
3.6130196147e-02 9.9206686995e-01 -1.2040736884e-01
-5.8128687550e-02 1.2236830176e-01 9.9078103252e-01
2.2941309840e-01 -1.0044223319e-01 1.1257022293e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9751448906e-01 -3.1324735793e-02 6.3115806543e-02
3.8873937573e-02 9.9174713266e-01 -1.2217381817e-01
-5.8767857589e-02 1.2432371374e-01 9.9049985013e-01
2.3964925231e-01 -1.4723824241e-01 1.1263457566e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9743744029e-01 -3.0708117928e-02 6.4618605630e-02
3.8902668302e-02 9.9079705959e-01 -1.2964478050e-01
-6.0042777245e-02 1.3182639419e-01 9.8945271069e-01
2.6618424621e-01 -1.8685862851e-01 1.1368985456e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.9743242326e-01 -3.4049178898e-02 6.3001701866e-02
4.3232691722e-02 9.8763583644e-01 -1.5068639270e-01
-5.7091990577e-02 1.5302322698e-01 9.8657204330e-01
