# Bundle file v0.3
200 7267
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7417308822e-01 3.0490569802e-02 2.2373448402e-01
-5.0849090919e-02 9.9501360095e-01 8.5803868652e-02
-2.2000264575e-01 -9.4964514826e-02 9.7086589022e-01
4.8859717307e-01 3.7264057651e-01 9.7224538215e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7417104559e-01 2.9857902730e-02 2.2382868355e-01
-5.1976197366e-02 9.9425349334e-01 9.3586675795e-02
-2.1974814866e-01 -1.0280319364e-01 9.7012486544e-01
4.8564863855e-01 3.7670429948e-01 9.6646270918e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7426589990e-01 2.8349796963e-02 2.2361181835e-01
-5.2031593947e-02 9.9355176034e-01 1.0073536000e-01
-2.1931408875e-01 -1.0977790550e-01 9.6945868501e-01
4.7996898771e-01 3.8172964784e-01 9.6155597002e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7449498222e-01 2.6593898488e-02 2.2282794749e-01
-4.9851360705e-02 9.9379717285e-01 9.9408355105e-02
-2.1880212855e-01 -1.0798121963e-01 9.6977610032e-01
4.8926106053e-01 3.7149121712e-01 9.6610202718e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7474833694e-01 2.4839773987e-02 2.2192040300e-01
-4.8278160549e-02 9.9373219524e-01 1.0082431930e-01
-2.1802499593e-01 -1.0899224641e-01 9.6983802326e-01
5.0282162539e-01 3.6328062056e-01 9.6692167377e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7562625829e-01 9.9855095211e-03 2.1921152738e-01
-3.3973534394e-02 9.9379263120e-01 1.0593396587e-01
-2.1679299596e-01 -1.1079934912e-01 9.6990942935e-01
5.1134521186e-01 3.6204819484e-01 9.6741147301e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7624112192e-01 -5.7208692205e-03 2.1661150366e-01
-1.8693476860e-02 9.9370102591e-01 1.1049355196e-01
-2.1587919258e-01 -1.1191757126e-01 9.6998486146e-01
5.1904722724e-01 3.6597792265e-01 9.6791605374e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7673425622e-01 -1.5177248137e-02 2.1391550639e-01
-9.3849850895e-03 9.9351181401e-01 1.1334106708e-01
-2.1424778829e-01 -1.1271169669e-01 9.7025458445e-01
5.2970862605e-01 3.6921059119e-01 9.6862067455e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7654398684e-01 -1.0211702939e-02 2.1507571430e-01
-1.4184493574e-02 9.9365393934e-01 1.1158247614e-01
-2.1485027787e-01 -1.1201593620e-01 9.7020193163e-01
5.3767636547e-01 3.5527637294e-01 9.7141653390e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7638506868e-01 -1.2638084311e-02 2.1566751373e-01
-1.1287587334e-02 9.9393958398e-01 1.0934666788e-01
-2.1574241128e-01 -1.0919881973e-01 9.7032511549e-01
5.4524118451e-01 3.1705170288e-01 9.7315871139e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7601667989e-01 -1.2115534759e-02 2.1735835478e-01
-1.0326087574e-02 9.9474974786e-01 1.0181508266e-01
-2.1745071278e-01 -1.0161768034e-01 9.7076724015e-01
5.6703376231e-01 2.8445255737e-01 9.8459207829e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7672661801e-01 -1.4459896600e-02 2.1400005853e-01
-2.5637410927e-03 9.9686663007e-01 7.9059149227e-02
-2.1447270431e-01 -7.7767816191e-02 9.7362910077e-01
5.9111770367e-01 2.0973635317e-01 1.0184842435e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7988727841e-01 -1.7334674771e-02 1.9879746138e-01
9.9379817898e-03 9.9922280126e-01 3.8144855078e-02
-1.9930418490e-01 -3.5402012677e-02 9.7929798293e-01
5.9711336200e-01 1.5207958115e-01 1.0496912514e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.8103698892e-01 -1.9973131890e-02 1.9278874544e-01
2.2906757771e-02 9.9965308544e-01 -1.2999585349e-02
-1.9246222178e-01 1.7169239161e-02 9.8115417260e-01
6.1219308415e-01 7.4441637629e-02 1.0711011657e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7824662884e-01 -2.3567020276e-02 2.0610222880e-01
3.0238823720e-02 9.9911372347e-01 -2.9281070951e-02
-2.0522949764e-01 3.4876397912e-02 9.7809227078e-01
6.5920938023e-01 1.1673215043e-02 1.0456061719e+00
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7590668101e-01 -4.9033338682e-02 2.1260734149e-01
5.6985771553e-02 9.9787996972e-01 -3.1435455687e-02
-2.1061522214e-01 4.2793664618e-02 9.7663193193e-01
6.9991143903e-01 -4.6809641493e-02 9.9705562342e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7448277915e-01 -5.8260198030e-02 2.1676960687e-01
6.9560308420e-02 9.9656842593e-01 -4.4863525676e-02
-2.1341198801e-01 5.8797293893e-02 9.7519136666e-01
7.3613917961e-01 -6.0708960865e-03 9.5413138200e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.7140931780e-01 -6.6835738569e-02 2.2780895798e-01
8.7209792011e-02 9.9292686038e-01 -8.0564893794e-02
-2.2081301923e-01 9.8128660362e-02 9.7036713493e-01
7.6794731951e-01 3.8443563697e-02 9.2492786572e-01
5.3200000000e+02 0.0000000000e+00 0.0000000000e+00
9.6707705877e-01 -5.2144309634e-02 2.4908418934e-01
